filename,attention_label,pose_label,cheat_label
images/LookDown.png,not_attentive,look_down,no
images/LookUp.png,not_attentive,look_up,no
images/LookOnLeft.png,not_attentive,look_left,no
images/NotAttenttion.png,not_attentive,look_down,no
images/LookOnRight.png,not_attentive,look_right,no
images/TakeBook.png,not_attentive,cheating,yes
images/Right.jpg,not_attentive,right,no
images/Left.jpg,not_attentive,left,no
images/Focus.jpg,attentive,focus,no
images/FocusFar.jpg,attentive,focus_far,no
images/LookOut.jpg,not_attentive,look_out,yes
images/GlassesDown.jpg,not_attentive,glasses_down,no
images/GlassesDown (2).jpg,not_attentive,glasses_down,yes
images/GlassesOut.jpg,not_attentive,glasses_out,no
images/GlassesLeft.jpg,not_attentive,glasses_left,yes
images/GlassesRight.jpg,not_attentive,glasses_right,yes
images/BookNearFace.png,not_attentive,book_near,yes
images/Self-camera.png,not_attentive,self_camera,yes
images/Call.png,not_attentive,call,yes
images/Call (2).png,not_attentive,call2,yes
images/Screenshot.png,not_attentive,screenshot,yes
images/PhoneNearFace.png,not_attentive,phone_near,yes
images/phone1.jpg,not_attentive,phone1,yes
images/phone2.jpg,not_attentive,phone2,yes
images/phone3.jpg,not_attentive,phone3,yes
images/phone4.jpg,not_attentive,phone4,yes
images/phone5.jpg,not_attentive,phone5,yes
images/phone6.jpg,not_attentive,phone6,yes
images/phone7.jpg,not_attentive,phone7,yes
images/phone8.jpg,not_attentive,phone8,yes
images/phone9.jpg,not_attentive,phone9,yes
images/phone10.jpg,not_attentive,phone10,yes
images/phone11.jpg,not_attentive,phone11,yes
images/phone12.jpg,not_attentive,phone12,yes
images/phone13.jpg,not_attentive,phone13,yes
images/phone14.jpg,not_attentive,phone14,yes
images/phone15.jpg,not_attentive,phone15,yes
images/book.jpg,not_attentive,book,yes
images/book1.jpg,not_attentive,book1,yes
images/book2.jpg,not_attentive,book2,yes
images/book3.jpg,not_attentive,book3,yes
images/book4.jpg,not_attentive,book4,yes
images/book5.jpg,not_attentive,book5,yes
images/book6.jpg,not_attentive,book6,yes
images/book7.jpg,not_attentive,book7,yes
images/book8.jpg,not_attentive,book8,yes
images/book9.jpg,not_attentive,book9,yes
images/book10.jpg,not_attentive,book10,yes
images/book11.jpg,not_attentive,book11,yes
images/book12.jpg,not_attentive,book12,yes
images/att1.jpg,attentive,att1,no
images/att2.jpg,attentive,att2,no
images/att3.jpg,attentive,att3,no
images/att4.jpg,attentive,att4,no
images/att5.jpg,attentive,att5,no
images/att6.jpg,attentive,att6,no
images/att7.jpg,attentive,att7,no
images/att8.jpg,attentive,att8,no
images/att9.jpg,attentive,att9,no
images/att10.jpg,attentive,att10,no
images/att11.jpg,attentive,att11,no
images/att12.jpg,attentive,att12,no
images/att13.jpg,attentive,att13,no
images/att14.jpg,attentive,att14,no







