filename,attention_label,pose_label,cheat_label
images/LookDown.png,not_attentive,look_down,no
images/LookUp.png,not_attentive,look_up,no
images/LookOnLeft .png,not_attentive,look_left,no
images/NotAttenttion.png,not_attentive,look_down,no
images/LookOnRight.png,not_attentive,look_right,no
images/TakeBook.png,not_attentive,cheating,yes
images/Right.jpg,not_attentive,right,no
images/Left.jpg,not_attentive,left,no
images/Focus.jpg,attentive,focus,no
images/FocusFar.jpg,attentive,focus_far,no
images/LookOut.jpg,not_attentive,look_out,yes
images/GlassesDown.jpg,not_attentive,glasses_down,no
images/GlassesDown(2).jpg,not_attentive,glasses_down,yes
images/GlassesOut.jpg,not_attentive,glasses_out,no
images/GlassesLeft.jpg,not_attentive,glasses_left,yes
images/GlassesRight.jpg,not_attentive,glasses_right,yes
images/BookNearFace.png,not_attentive,book_near,yes
images/Self-camera.png,not_attentive,self_camera,yes
images/Call.png,not_attentive,call,yes
images/Call(2).png,not_attentive,call2,yes
images/Screenshot.png,not_attentive,screenshot,yes
images/PhoneNearFace.png,not_attentive,phone_near,yes
